input_id	dealiased_id	standard_id	short_id
url:https://openaccess.thecvf.com/content/CVPR2022/html/Zorzi_PolyWorld_Polygonal_Building_Extraction_With_Graph_Neural_Networks_in_Satellite_CVPR_2022_paper.html	url:https://openaccess.thecvf.com/content/CVPR2022/html/Zorzi_PolyWorld_Polygonal_Building_Extraction_With_Graph_Neural_Networks_in_Satellite_CVPR_2022_paper.html	url:https://openaccess.thecvf.com/content/CVPR2022/html/Zorzi_PolyWorld_Polygonal_Building_Extraction_With_Graph_Neural_Networks_in_Satellite_CVPR_2022_paper.html	EAqDvrRp
doi:10.5194/isprs-annals-X-2-2024-217-2024	doi:10.5194/isprs-annals-X-2-2024-217-2024	doi:10.5194/isprs-annals-x-2-2024-217-2024	14nvFtl2Y
doi:10.3390/ijgi8040191	doi:10.3390/ijgi8040191	doi:10.3390/ijgi8040191	WGnpWHap
guercke2011	guercke2011	guercke2011	htslqIyY
doi:10.1145/361237.361242	doi:10.1145/361237.361242	doi:10.1145/361237.361242	xcIP7T6n
url:https://element84.com/software-engineering/automated-building-footprint-extraction-part-3-model-architectures	url:https://element84.com/software-engineering/automated-building-footprint-extraction-part-3-model-architectures	url:https://element84.com/software-engineering/automated-building-footprint-extraction-part-3-model-architectures	eYYCP7Ll
douglas1973	douglas1973	douglas1973	10NIfLLFS
url:https://medium.com/st1739/hough-transform-287b2dac0c70	url:https://medium.com/st1739/hough-transform-287b2dac0c70	url:https://medium.com/st1739/hough-transform-287b2dac0c70	MiEvI741
doi:10.1016/j.isprsjprs.2010.10.006	doi:10.1016/j.isprsjprs.2010.10.006	doi:10.1016/j.isprsjprs.2010.10.006	zmiaq1Rh
doi:10.5194/isprs-archives-XLI-B3-555-2016	doi:10.5194/isprs-archives-XLI-B3-555-2016	doi:10.5194/isprs-archives-xli-b3-555-2016	Owk5rl8n
doi:10.1007/978-3-031-34612-5_13	doi:10.1007/978-3-031-34612-5_13	doi:10.1007/978-3-031-34612-5_13	11tfzIA8i
doi:10.1109/cvpr.2018.00925	doi:10.1109/cvpr.2018.00925	doi:10.1109/cvpr.2018.00925	wgZ4AqDG
doi:10.48550/arXiv.1912.00367	doi:10.48550/arXiv.1912.00367	doi:10.48550/arxiv.1912.00367	IwXAf2aR
doi:10.1007/978-3-030-58610-2_43	doi:10.1007/978-3-030-58610-2_43	doi:10.1007/978-3-030-58610-2_43	yL6sXzbP
doi:10.1109/cvpr46437.2021.00583	doi:10.1109/cvpr46437.2021.00583	doi:10.1109/cvpr46437.2021.00583	18ItrlOd4
doi:10.1109/cvpr52688.2022.00189	doi:10.1109/cvpr52688.2022.00189	doi:10.1109/cvpr52688.2022.00189	NF3gvseN
doi:10.1109/iccv51070.2023.01537	doi:10.1109/iccv51070.2023.01537	doi:10.1109/iccv51070.2023.01537	1FEnUJGfB
url:https://arxiv.org/html/2412.07899v1	url:https://arxiv.org/html/2412.07899v1	url:https://arxiv.org/html/2412.07899v1	18Upmkr67
doi:10.3390/rs14081835	doi:10.3390/rs14081835	doi:10.3390/rs14081835	gSxajAT2
